C-ZLFMONAT-0,C-ZLFE32-0,C-ZLFART-0,C-ZLFR63-0,F-ZLFFLUG,F-ZLFPAX,F-ZLFFRACHT,F-ZLFPOST,F-ZLFPAXEND,Jahr,Monat
200005,GRZ,1,2,641,21023,35730,1,21023,2000,5
200005,GRZ,1,3,0,234,0,0,0,2000,5
200005,GRZ,2,1,166,8391,37418,0,0,2000,5
200005,GRZ,2,2,169,10986,41755,0,10986,2000,5
200005,GRZ,2,3,0,2641,0,0,0,2000,5
200005,INN,1,1,610,14761,38002,7543,0,2000,5
200005,INN,1,2,615,14440,22943,5904,14440,2000,5
200005,INN,1,3,0,136,0,0,0,2000,5
200005,INN,2,1,138,9036,0,0,0,2000,5
200005,INN,2,2,132,10675,0,0,10675,2000,5
200005,INN,2,3,0,1322,0,0,0,2000,5
200005,KLU,1,1,301,8012,2127,0,0,2000,5
200005,KLU,1,2,304,7696,2070,0,7696,2000,5
200005,KLU,2,1,18,272,0,0,0,2000,5
200005,KLU,2,2,16,703,1400,0,703,2000,5
200005,KLU,2,3,0,282,0,0,0,2000,5
200005,LNZ,1,1,688,16787,11599,9674,0,2000,5
200005,LNZ,1,2,695,16592,4748,74,16592,2000,5
200005,LNZ,1,3,0,1839,0,0,0,2000,5
200005,LNZ,2,1,241,13261,117779,0,0,2000,5
200005,LNZ,2,2,233,15799,105190,20,15799,2000,5
200005,LNZ,2,3,0,1897,0,0,0,2000,5
200005,SZG,1,1,709,22445,15653,7020,0,2000,5
200005,SZG,1,2,709,21772,7198,5981,21772,2000,5
200005,SZG,1,3,0,2983,180,395,0,2000,5
200005,SZG,2,1,278,26907,0,0,0,2000,5
200005,SZG,2,2,278,24777,446,0,24777,2000,5
200005,SZG,2,3,0,3743,0,0,0,2000,5
200006,VIE,1,1,7251,458745,4806069,202750,0,2000,6
200006,VIE,1,2,7271,469870,5143153,358963,469870,2000,6
200006,VIE,1,3,0,8201,223207,11551,0,2000,6
200006,VIE,2,1,896,78584,202991,6,0,2000,6
200006,VIE,2,2,891,95259,171365,20,95259,2000,6
200006,VIE,2,3,0,4613,93091,170,0,2000,6
200006,GRZ,1,1,617,19651,59610,170,0,2000,6
200006,GRZ,1,2,613,19561,36696,5,19561,2000,6
200006,GRZ,1,3,0,159,0,0,0,2000,6
200006,GRZ,2,1,275,20748,33025,0,0,2000,6
200006,GRZ,2,2,279,21970,42056,0,21970,2000,6
200006,GRZ,2,3,0,3585,0,0,0,2000,6
200006,INN,1,1,601,14813,21048,8391,0,2000,6
200006,INN,1,2,606,14394,18500,6050,14394,2000,6
200006,INN,1,3,0,160,0,0,0,2000,6
200006,INN,2,1,227,17735,0,0,0,2000,6
200006,INN,2,2,222,17041,0,0,17041,2000,6
200006,INN,2,3,0,1678,0,0,0,2000,6
200006,KLU,1,1,392,8698,2839,0,0,2000,6
200006,KLU,1,2,376,8087,1959,0,8087,2000,6
200006,KLU,1,3,0,0,90,0,0,2000,6
200006,KLU,2,1,57,3280,0,0,0,2000,6
200006,KLU,2,2,72,3470,4,0,3470,2000,6
200006,KLU,2,3,0,1122,0,0,0,2000,6
200006,LNZ,1,1,665,14947,16460,2566,0,2000,6
200006,LNZ,1,2,682,14278,3560,0,14278,2000,6
200006,LNZ,1,3,0,1620,245,0,0,2000,6
200006,LNZ,2,1,317,24137,99900,0,0,2000,6
200006,LNZ,2,2,298,26880,73320,0,26880,2000,6
200006,LNZ,2,3,0,2065,0,0,0,2000,6
200006,SZG,1,1,711,22206,17036,5690,0,2000,6
200006,SZG,1,2,712,21666,9286,5624,21666,2000,6
