F-ZLFFLUG,F-ZLFPAX,F-ZLFFRACHT,F-ZLFPOST,F-ZLFPAXEND,Jahr,Monat
0,1906,35167,0,0,2001,4
570,19993,56693,0,0,2001,4
568,20135,39740,0,20135,2001,4
0,50,0,0,0,2001,4
106,5829,700,0,0,2001,4
106,6725,0,0,6725,2001,4
0,1459,0,0,0,2001,4
351,12074,19068,3608,0,2001,4
352,13019,18167,5611,13019,2001,4
0,12,0,0,0,2001,4
90,4784,1626,0,0,2001,4
86,7889,0,0,7889,2001,4
0,539,0,0,0,2001,4
263,7493,2405,0,0,2001,4
262,7715,1753,0,7715,2001,4
14,218,0,0,0,2001,4
12,316,4494,0,316,2001,4
0,142,0,0,0,2001,4
474,13562,20460,3329,0,2001,4
474,13541,3090,455,13541,2001,4
0,1208,41,0,0,2001,4
188,13909,72614,0,0,2001,4
188,15205,108841,0,15205,2001,4
0,1481,99196,0,0,2001,4
549,20282,17672,1979,0,2001,4
549,20846,5169,6687,20846,2001,4
0,1001,50,0,0,2001,4
183,14814,1250,0,0,2001,4
183,19536,201,0,19536,2001,4
0,3350,0,0,0,2001,4
7465,480106,4264682,288878,0,2001,5
7470,472668,4930537,437643,472668,2001,5
0,6192,325153,5720,0,2001,5
686,53554,225914,48,0,2001,5
683,60715,203121,0,60715,2001,5
0,2907,28370,0,0,2001,5
621,22933,68510,1,0,2001,5
618,22077,29944,0,22077,2001,5
0,359,0,0,0,2001,5
204,11161,54324,0,0,2001,5
206,13574,55239,0,13574,2001,5
0,3696,0,0,0,2001,5
447,13572,15216,3563,0,2001,5
451,13461,23603,5639,13461,2001,5
0,220,0,0,0,2001,5
172,10143,0,50,0,2001,5
167,12298,2506,0,12298,2001,5
0,974,0,0,0,2001,5
280,8718,2570,0,0,2001,5
279,8300,1117,0,8300,2001,5
0,11,0,0,0,2001,5
20,1045,0,0,0,2001,5
22,1529,16049,0,1529,2001,5
0,173,0,0,0,2001,5
516,15727,17697,4227,0,2001,5
518,15570,3947,0,15570,2001,5
0,1396,157,0,0,2001,5
240,14557,68303,0,0,2001,5
237,16788,71349,0,16788,2001,5
0,2006,112867,0,0,2001,5
604,24557,17193,1430,0,2001,5
603,22790,5837,6098,22790,2001,5
0,1423,44,0,0,2001,5
283,24934,894,0,0,2001,5
284,25504,387,0,25504,2001,5
0,4638,5366,46,0,2001,5
7172,478769,4005268,288969,0,2001,6
7162,494644,4722978,475359,494644,2001,6
0,3906,352483,5469,0,2001,6
935,81067,228964,50,0,2001,6
942,99739,184565,14,99739,2001,6
0,3070,48945,9,0,2001,6
598,21415,51561,0,0,2001,6
597,21042,26935,0,21042,2001,6
0,231,0,0,0,2001,6
278,20186,45055,0,0,2001,6
279,21977,51793,0,21977,2001,6
0,3886,0,0,0,2001,6
453,13680,15860,3508,0,2001,6
453,13355,19647,7599,13355,2001,6
0,132,0,0,0,2001,6
225,19604,200,0,0,2001,6
221,18869,0,341,18869,2001,6
0,1057,0,0,0,2001,6
264,8354,2469,0,0,2001,6
262,7932,1111,0,7932,2001,6
57,4601,0,206,0,2001,6
56,4350,11,206,4350,2001,6
0,500,0,0,0,2001,6
488,14348,15677,3831,0,2001,6
491,13880,2233,349,13880,2001,6
0,1278,9,0,0,2001,6
298,27371,59324,0,0,2001,6
296,29748,65147,0,29748,2001,6
0,1920,106382,0,0,2001,6
587,25424,16520,1567,0,2001,6
